Load Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini
Saved Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..tree/ElementTree.py:1441 XMLParser  2      0.000027  0.000465  0.000232
..ib/python3.5/posixpath.py:99 split  29     0.000257  0.000459  0.000016
..es/OpenGL/converters.py:1 <module>  38     0.000132  0.000452  0.000012
.._weakrefset.py:36 WeakSet.__init__  99     0.000450  0.000450  0.000005
..hon3.5/random.py:250 Random.choice  48     0.000143  0.000443  0.000009
../ARB/vertex_buffer_object.py:12 _f  11     0.000028  0.000443  0.000040
..tlib._bootstrap>:919 _sanity_check  146    0.000344  0.000443  0.000003
..nit__.py:379 PercentStyle.usesTime  112    0.000283  0.000443  0.000004
..ackages/OpenGL/plugins.py:61 match  15     0.000295  0.000440  0.000029
..etester.py:179 NoseTester.__init__  19     0.000168  0.000440  0.000023
..strap>:427 ModuleSpec.has_location  481    0.000438  0.000438  0.000001
..e.py:145 BoundedSemaphore.__init__  2      0.000005  0.000437  0.000218
..nGL/raw/GL/VERSION/GL_3_1.py:12 _f  12     0.000027  0.000433  0.000036
..on3.5/random.py:84 Random.__init__  2      0.000010  0.000423  0.000211
..python3.5/random.py:93 Random.seed  2      0.000026  0.000412  0.000206
..piler/qtproxies.py:265 QGridLayout  2      0.000068  0.000411  0.000206
..ointers.py:196 glDrawElementsTyped  3      0.000042  0.000411  0.000137
../packaging/version.py:362 <lambda>  388    0.000409  0.000409  0.000001
..r/Renderer.py:63 Renderer.__init__  1      0.000141  0.000405  0.000405
..trap_external>:1312 _fix_up_module  11     0.000090  0.000400  0.000036
../python3.5/subprocess.py:833 Popen  13     0.000160  0.000399  0.000031
..a/core.py:753 _DomainCheckInterval  10     0.000025  0.000397  0.000040
..3.5/ctypes/__init__.py:175 c_ulong  27     0.000201  0.000396  0.000015
..37 ResourceManager.resource_exists  1      0.000013  0.000395  0.000395
..py:308 IncrementalDecoder.__init__  80     0.000265  0.000391  0.000005
..uffer_no_attachments.py:1 <module>  1      0.000066  0.000390  0.000390
../python3.5/numbers.py:267 Rational  2      0.000273  0.000387  0.000194
..arser.py:446 ExtendedInterpolation  1      0.000004  0.000386  0.000386
..re_parse.py:251 Tokenizer.getwhile  35     0.000232  0.000385  0.000011
../OpenGL/GLU/quadrics.py:1 <module>  1      0.000027  0.000383  0.000383
..arser.py:599 ConfigParser.__init__  1      0.000029  0.000382  0.000382
